Date,US-Mexico Border,North Africa,Sub-Saharan Africa,Mediterranean,Horn of Africa
21-Mar-18,2,2,0,0,0
22-Mar-18,1,8,3,0,0
23-Mar-18,1,3,4,0,0
24-Mar-18,1,3,0,0,0
25-Mar-18,0,0,0,0,0
26-Mar-18,0,0,3,0,0
27-Mar-18,3,2,4,0,0
28-Mar-18,2,2,2,0,0
29-Mar-18,2,2,6,7,0
30-Mar-18,0,0,2,0,1
31-Mar-18,0,4,0,1,0
1-Apr-18,1,5,0,13,0
2-Apr-18,1,0,0,1,0
3-Apr-18,2,0,0,0,0
4-Apr-18,0,0,0,0,0
5-Apr-18,0,7,0,0,0
6-Apr-18,1,2,1,1,0
7-Apr-18,0,3,10,0,0
8-Apr-18,0,2,5,0,0
9-Apr-18,1,0,4,36,0
10-Apr-18,2,0,2,0,0
11-Apr-18,0,0,7,0,0
12-Apr-18,2,0,1,0,0
13-Apr-18,1,0,1,1,0
14-Apr-18,1,6,0,1,0
15-Apr-18,0,3,1,0,0
16-Apr-18,1,1,0,0,0
17-Apr-18,2,1,0,0,0
18-Apr-18,1,1,0,0,0
19-Apr-18,0,1,5,0,0
20-Apr-18,0,3,0,0,0
21-Apr-18,0,0,4,0,0
22-Apr-18,0,3,2,11,0
23-Apr-18,2,2,1,0,0
24-Apr-18,2,0,5,0,0
25-Apr-18,3,2,48,17,0
26-Apr-18,1,4,0,0,0
27-Apr-18,0,0,0,0,0
28-Apr-18,0,1,2,0,0
29-Apr-18,1,6,0,19,0
30-Apr-18,0,1,0,9,0
1-May-18,0,3,4,0,0
2-May-18,1,0,0,0,1
3-May-18,1,0,4,0,0
4-May-18,0,0,0,0,0
5-May-18,0,0,15,0,0
6-May-18,1,2,2,4,0
7-May-18,2,0,1,0,0
8-May-18,1,5,0,0,0
9-May-18,1,2,0,0,0
10-May-18,2,2,0,1,2
11-May-18,3,0,3,0,0
12-May-18,1,0,0,1,1
13-May-18,2,0,2,9,0
14-May-18,0,0,0,7,0
15-May-18,0,0,4,0,3
16-May-18,3,3,0,0,0
17-May-18,1,5,1,0,2
18-May-18,0,1,1,0,0
19-May-18,1,6,7,0,0
20-May-18,0,0,3,0,0
21-May-18,2,0,1,0,0
22-May-18,0,1,1,0,0
23-May-18,3,16,0,0,0
24-May-18,2,3,0,18,0
25-May-18,1,1,0,5,0
26-May-18,1,2,2,1,0
27-May-18,0,0,1,0,0
28-May-18,0,5,1,0,0
29-May-18,2,2,0,2,5
30-May-18,0,4,0,0,0
31-May-18,2,1,0,0,1
1-Jun-18,1,0,1,0,0
2-Jun-18,1,3,1,115,0
