Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
51333,Sub-Saharan Africa,17-Sep-18,2018,Sep,1,,1,,,1,,Vehicle Accident,"Desert near Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),"17.275026000000, 8.339431000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
45919,Mediterranean,16-Sep-18,2018,Sep,,1,1,54,1,,,Drowning,"Unspecified location in Alboran Sea, between Morocco and Spain",Caminando Fronteras,"36.072450542211, -3.002072231250",Western Mediterranean,"https://bit.ly/2NhbUHs, https://bit.ly/2xqv2aT, https://bit.ly/2xp7ILR",Uncategorized,4
45938,US-Mexico Border,16-Sep-18,2018,Sep,1,,1,,,1,,Drowning,"All American Canal, Holtville, Imperial County, California, USA","Imperial County Coroner's Office, La Cronica, MBC","32.682497093101, -115.317239175340",Central America to US,"https://bit.ly/2NwTKSd, https://bit.ly/2DfIlkR",Northern America,5
46059,Sub-Saharan Africa,16-Sep-18,2018,Sep,1,,1,,1,,1,Drowning,Body recovered on beach of Mayotte,Europe 1,"-12.714997446292, 45.050887554688",,https://bit.ly/2F6IjwD,Eastern Africa,1
51327,Sub-Saharan Africa,16-Sep-18,2018,Sep,1,,1,,1,,,Uknown,"Near Nampula, Mozambique",Mixed Migration Monitoring Mechanism Initiative (4mi),"-15.137787000000, 39.230025000000",,http://www.mixedmigration.org/4mi/,Eastern Africa,2
51328,Sub-Saharan Africa,16-Sep-18,2018,Sep,1,,1,,,1,1,Sickness and lack of access to medicines,"Near Dzaleka, Malawi",Mixed Migration Monitoring Mechanism Initiative (4mi),"-13.662830000000, 33.870444000000",,http://www.mixedmigration.org/4mi/,Eastern Africa,2
51329,Sub-Saharan Africa,16-Sep-18,2018,Sep,2,,2,,2,,,Sickness and lack of access to medicines,"Yamoussoukro, Cote d'Ivoire",Mixed Migration Monitoring Mechanism Initiative (4mi),"6.816667000000, -5.283333000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
51330,Sub-Saharan Africa,16-Sep-18,2018,Sep,1,,1,,,1,1,Sickness and lack of access to medicines,"Niamey, Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),"13.511667000000, 2.083920000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
51331,Sub-Saharan Africa,16-Sep-18,2018,Sep,1,,1,,,,,Sickness and lack of access to medicines,"Benin, near the border with Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4mi),"11.176623000000, 0.954152000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
51332,Sub-Saharan Africa,16-Sep-18,2018,Sep,2,,2,,2,,1,Dehydration,"Desert near Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),"17.288454000000, 8.188231000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
